,Date,Price,comm_count
0,2019-07-18,1.55,4
1,2019-07-19,1.55,1
2,2019-07-22,1.55,2
3,2019-07-23,1.55,2
4,2019-07-24,1.55,4
5,2019-07-25,1.54,1
7,2019-07-31,1.51,8
8,2019-08-01,1.52,5
9,2019-08-02,1.52,1
11,2019-08-05,1.51,3
12,2019-08-06,1.53,11
13,2019-08-15,1.5,2
15,2019-08-23,1.58,2
16,2019-08-26,1.55,1
17,2019-08-27,1.56,2
18,2019-08-28,1.55,1
19,2019-09-03,1.57,1
20,2019-09-04,1.56,1
21,2019-09-05,1.57,3
23,2019-09-12,1.6,1
27,2019-09-17,1.6,1
28,2019-09-20,1.58,2
29,2019-09-23,1.58,6
30,2019-09-24,1.58,1
31,2019-09-26,1.57,6
32,2019-09-27,1.52,9
34,2019-09-30,1.48,11
35,2019-10-02,1.5,26
36,2019-10-03,1.49,1
37,2019-10-04,1.49,2
40,2019-10-07,1.5,2
41,2019-10-08,1.49,1
42,2019-10-09,1.46,14
43,2019-10-10,1.44,18
44,2019-10-11,1.43,8
47,2019-10-14,1.42,5
48,2019-10-15,1.42,23
49,2019-10-16,1.43,7
50,2019-10-17,1.45,5
51,2019-10-18,1.44,1
54,2019-10-21,1.45,1
55,2019-10-23,1.46,1
56,2019-10-24,1.46,2
57,2019-10-25,1.45,1
58,2019-11-04,1.51,6
59,2019-11-05,1.5,3
60,2019-11-06,1.46,10
61,2019-11-07,1.47,5
62,2019-11-08,1.45,5
63,2019-11-11,1.47,3
64,2019-11-12,1.47,1
65,2019-11-13,1.48,6
66,2019-11-14,1.5,1
67,2019-11-19,1.53,5
68,2019-11-20,1.53,4
69,2019-11-25,1.53,2
70,2019-11-27,1.54,3
71,2019-11-28,1.53,1
72,2019-11-29,1.5,2
73,2019-12-02,1.5,2
74,2019-12-03,1.47,1
75,2019-12-06,1.47,3
76,2019-12-11,1.48,2
77,2019-12-13,1.46,1
78,2019-12-17,1.55,14
79,2019-12-18,1.6,14
80,2019-12-19,1.6,5
81,2019-12-20,1.6,2
83,2019-12-23,1.59,1
84,2019-12-26,1.58,1
85,2019-12-27,1.59,2
86,2019-12-30,1.58,1
88,2020-01-02,1.55,3
89,2020-01-03,1.56,1
90,2020-01-08,1.54,4
91,2020-01-09,1.53,2
92,2020-01-10,1.54,1
93,2020-01-15,1.6,8
94,2020-01-16,1.57,2
95,2020-01-20,1.61,1
96,2020-01-21,1.7,13
97,2020-01-22,1.81,9
98,2020-01-23,1.79,11
99,2020-01-24,1.85,15
103,2020-01-28,2.0,66
104,2020-01-29,1.95,51
105,2020-01-30,1.96,31
106,2020-01-31,1.95,18
109,2020-02-03,1.93,7
110,2020-02-04,1.9,9
111,2020-02-05,1.88,15
112,2020-02-06,1.87,7
113,2020-02-07,1.89,4
116,2020-02-10,1.91,1
117,2020-02-11,1.91,1
118,2020-02-12,1.95,4
119,2020-02-13,1.95,2
122,2020-02-17,1.89,8
123,2020-02-18,1.88,9
124,2020-02-19,1.81,42
125,2020-02-20,1.77,38
126,2020-02-21,1.76,40
129,2020-02-24,1.81,37
130,2020-02-25,1.87,13
131,2020-02-26,1.89,11
132,2020-02-27,1.9,10
133,2020-02-28,1.88,7
136,2020-03-02,1.87,8
137,2020-03-03,1.9,15
138,2020-03-04,1.9,10
139,2020-03-05,1.91,10
140,2020-03-06,2.0,59
143,2020-03-09,2.04,30
144,2020-03-10,2.03,9
145,2020-03-11,2.09,9
146,2020-03-12,2.17,45
147,2020-03-13,2.08,22
150,2020-03-16,1.96,23
151,2020-03-17,1.95,20
152,2020-03-18,1.92,41
153,2020-03-19,1.95,96
154,2020-03-20,2.09,16
157,2020-03-23,2.04,15
158,2020-03-24,2.04,10
159,2020-03-25,2.07,10
160,2020-03-26,2.07,16
161,2020-03-27,2.11,19
164,2020-03-30,2.13,22
165,2020-03-31,2.15,28
166,2020-04-01,2.13,10
167,2020-04-02,2.13,9
168,2020-04-03,2.13,5
170,2020-04-06,2.14,9
171,2020-04-07,2.16,15
172,2020-04-08,2.14,10
173,2020-04-09,2.16,6
174,2020-04-10,2.17,12
176,2020-04-13,2.22,17
177,2020-04-14,2.23,4
178,2020-04-15,2.25,12
179,2020-04-16,2.24,12
180,2020-04-17,2.27,4
183,2020-04-20,2.25,1
184,2020-04-21,2.17,7
185,2020-04-22,2.28,7
186,2020-04-23,2.3,3
187,2020-04-24,2.39,14
190,2020-04-27,2.4,12
191,2020-04-28,2.41,6
192,2020-04-29,2.42,4
193,2020-04-30,2.42,6
197,2020-05-04,2.4,5
198,2020-05-05,2.4,4
199,2020-05-06,2.36,10
201,2020-05-08,2.44,13
205,2020-05-12,2.66,58
206,2020-05-13,3.1,49
207,2020-05-14,3.43,94
208,2020-05-15,3.46,82
211,2020-05-18,3.5,44
212,2020-05-19,3.49,40
213,2020-05-20,3.6,28
214,2020-05-21,3.89,64
215,2020-05-22,3.94,35
220,2020-05-27,4.29,108
221,2020-05-28,4.37,121
222,2020-05-29,4.43,100
225,2020-06-01,5.18,304
226,2020-06-02,4.93,297
227,2020-06-03,4.9,452
228,2020-06-04,5.15,334
229,2020-06-05,5.46,232
233,2020-06-09,5.67,304
234,2020-06-10,5.69,503
235,2020-06-11,5.57,1417
236,2020-06-12,5.63,542
239,2020-06-15,5.07,530
240,2020-06-16,5.32,213
241,2020-06-17,5.23,282
242,2020-06-18,4.9,485
243,2020-06-19,5.13,250
246,2020-06-22,5.2,194
247,2020-06-23,5.21,121
248,2020-06-24,5.2,73
249,2020-06-25,5.17,109
250,2020-06-26,4.97,242
253,2020-06-29,5.23,123
254,2020-06-30,5.37,111
255,2020-07-01,5.71,127
256,2020-07-02,5.83,104
257,2020-07-03,6.15,217
260,2020-07-06,6.65,297
261,2020-07-07,6.82,216
262,2020-07-08,6.85,94
263,2020-07-09,7.06,101
264,2020-07-10,7.31,122
267,2020-07-13,8.0,308
268,2020-07-14,7.72,323
269,2020-07-15,7.27,428
270,2020-07-16,6.57,1582
271,2020-07-17,7.66,867
274,2020-07-20,8.27,463
275,2020-07-21,8.31,462
276,2020-07-22,8.23,347
277,2020-07-23,8.71,374
278,2020-07-24,8.48,289
281,2020-07-27,8.63,173
282,2020-07-28,8.8,214
283,2020-07-29,8.71,415
284,2020-07-30,8.63,295
288,2020-08-03,8.96,209
289,2020-08-04,9.45,377
290,2020-08-05,9.31,231
291,2020-08-06,9.47,207
292,2020-08-07,9.38,174
293,2020-08-08,28.14,67
295,2020-08-10,9.07,328
296,2020-08-11,9.1,198
297,2020-08-12,8.17,641
298,2020-08-13,8.33,501
299,2020-08-14,7.94,546
302,2020-08-17,7.47,474
303,2020-08-18,8.69,472
304,2020-08-19,9.05,337
306,2020-08-21,9.33,307
309,2020-08-24,9.3,215
310,2020-08-25,8.47,438
311,2020-08-26,8.78,332
312,2020-08-27,8.8,200
313,2020-08-28,8.76,176
317,2020-09-01,8.83,114
318,2020-09-02,8.69,199
319,2020-09-03,8.37,669
320,2020-09-04,8.38,349
323,2020-09-07,8.28,205
324,2020-09-08,7.64,516
325,2020-09-09,7.15,750
326,2020-09-10,6.45,1019
327,2020-09-11,7.76,1719
330,2020-09-14,8.58,956
331,2020-09-15,8.43,779
333,2020-09-17,7.79,2405
334,2020-09-18,7.98,888
337,2020-09-21,8.0,713
338,2020-09-22,8.03,856
339,2020-09-23,8.02,574
340,2020-09-24,8.55,725
341,2020-09-25,8.8,577
344,2020-09-28,8.77,386
345,2020-09-29,8.47,432
346,2020-09-30,8.3,308
347,2020-10-01,8.43,217
348,2020-10-02,8.76,417
351,2020-10-05,8.92,354
352,2020-10-06,8.64,345
353,2020-10-07,8.8,241
354,2020-10-08,8.8,133
355,2020-10-09,8.81,165
358,2020-10-12,8.97,299
359,2020-10-13,9.09,210
