,Date,Price,Sum_Bull,Sum_Bear
0,2019-07-18,1.55,1,1
1,2019-07-19,1.55,0,0
2,2019-07-22,1.55,1,0
3,2019-07-23,1.55,0,0
4,2019-07-24,1.55,0,2
5,2019-07-25,1.54,0,0
7,2019-07-31,1.51,2,1
8,2019-08-01,1.52,0,2
9,2019-08-02,1.52,0,1
11,2019-08-05,1.51,0,2
12,2019-08-06,1.53,1,2
13,2019-08-15,1.5,0,0
15,2019-08-23,1.58,0,0
16,2019-08-26,1.55,0,1
17,2019-08-27,1.56,0,1
18,2019-08-28,1.55,0,1
19,2019-09-03,1.57,0,0
20,2019-09-04,1.56,0,0
21,2019-09-05,1.57,0,0
23,2019-09-12,1.6,0,0
27,2019-09-17,1.6,0,0
28,2019-09-20,1.58,0,0
29,2019-09-23,1.58,0,2
30,2019-09-24,1.58,0,1
31,2019-09-26,1.57,0,1
32,2019-09-27,1.52,1,2
34,2019-09-30,1.48,2,4
35,2019-10-02,1.5,2,3
36,2019-10-03,1.49,0,1
37,2019-10-04,1.49,1,0
40,2019-10-07,1.5,1,0
41,2019-10-08,1.49,0,1
42,2019-10-09,1.46,4,1
43,2019-10-10,1.44,2,1
44,2019-10-11,1.43,2,1
47,2019-10-14,1.42,0,0
48,2019-10-15,1.42,3,3
49,2019-10-16,1.43,2,0
50,2019-10-17,1.45,0,0
51,2019-10-18,1.44,0,0
54,2019-10-21,1.45,0,0
55,2019-10-23,1.46,0,0
56,2019-10-24,1.46,1,0
57,2019-10-25,1.45,0,0
58,2019-11-04,1.51,1,1
59,2019-11-05,1.5,0,1
60,2019-11-06,1.46,1,2
61,2019-11-07,1.47,1,0
62,2019-11-08,1.45,1,2
63,2019-11-11,1.47,1,2
64,2019-11-12,1.47,0,0
65,2019-11-13,1.48,2,1
66,2019-11-14,1.5,0,0
67,2019-11-19,1.53,0,2
68,2019-11-20,1.53,0,0
69,2019-11-25,1.53,0,1
70,2019-11-27,1.54,1,0
71,2019-11-28,1.53,0,0
72,2019-11-29,1.5,0,0
73,2019-12-02,1.5,0,0
74,2019-12-03,1.47,0,1
75,2019-12-06,1.47,0,1
76,2019-12-11,1.48,0,1
77,2019-12-13,1.46,0,0
78,2019-12-17,1.55,1,0
79,2019-12-18,1.6,3,2
80,2019-12-19,1.6,0,0
81,2019-12-20,1.6,0,0
83,2019-12-23,1.59,1,0
84,2019-12-26,1.58,0,0
85,2019-12-27,1.59,1,0
86,2019-12-30,1.58,0,0
88,2020-01-02,1.55,0,0
89,2020-01-03,1.56,0,0
90,2020-01-08,1.54,1,0
91,2020-01-09,1.53,1,1
92,2020-01-10,1.54,0,0
93,2020-01-15,1.6,0,1
94,2020-01-16,1.57,0,1
95,2020-01-20,1.61,0,0
96,2020-01-21,1.7,2,1
97,2020-01-22,1.81,0,1
98,2020-01-23,1.79,2,0
99,2020-01-24,1.85,4,1
103,2020-01-28,2.0,12,4
104,2020-01-29,1.95,6,5
105,2020-01-30,1.96,5,2
106,2020-01-31,1.95,1,0
109,2020-02-03,1.93,1,2
110,2020-02-04,1.9,1,3
111,2020-02-05,1.88,4,4
112,2020-02-06,1.87,0,0
113,2020-02-07,1.89,1,0
116,2020-02-10,1.91,0,0
117,2020-02-11,1.91,0,0
118,2020-02-12,1.95,0,0
119,2020-02-13,1.95,0,1
122,2020-02-17,1.89,4,1
123,2020-02-18,1.88,3,2
124,2020-02-19,1.81,4,10
125,2020-02-20,1.77,5,8
126,2020-02-21,1.76,7,2
129,2020-02-24,1.81,2,6
130,2020-02-25,1.87,0,4
131,2020-02-26,1.89,0,0
132,2020-02-27,1.9,0,0
133,2020-02-28,1.88,1,2
136,2020-03-02,1.87,0,0
137,2020-03-03,1.9,4,1
138,2020-03-04,1.9,1,2
139,2020-03-05,1.91,0,2
140,2020-03-06,2.0,5,21
143,2020-03-09,2.04,4,9
144,2020-03-10,2.03,3,1
145,2020-03-11,2.09,1,0
146,2020-03-12,2.17,3,12
147,2020-03-13,2.08,2,9
150,2020-03-16,1.96,0,6
151,2020-03-17,1.95,1,4
152,2020-03-18,1.92,4,3
153,2020-03-19,1.95,9,14
154,2020-03-20,2.09,1,5
157,2020-03-23,2.04,2,4
158,2020-03-24,2.04,1,4
159,2020-03-25,2.07,0,2
160,2020-03-26,2.07,4,2
161,2020-03-27,2.11,4,1
164,2020-03-30,2.13,6,3
165,2020-03-31,2.15,7,6
166,2020-04-01,2.13,2,0
167,2020-04-02,2.13,1,1
168,2020-04-03,2.13,0,1
170,2020-04-06,2.14,2,0
171,2020-04-07,2.16,3,1
172,2020-04-08,2.14,1,1
173,2020-04-09,2.16,2,0
174,2020-04-10,2.17,1,0
176,2020-04-13,2.22,5,1
177,2020-04-14,2.23,1,1
178,2020-04-15,2.25,4,0
179,2020-04-16,2.24,5,0
180,2020-04-17,2.27,0,0
183,2020-04-20,2.25,0,0
184,2020-04-21,2.17,2,2
185,2020-04-22,2.28,4,1
186,2020-04-23,2.3,0,0
187,2020-04-24,2.39,7,2
190,2020-04-27,2.4,5,0
191,2020-04-28,2.41,0,0
192,2020-04-29,2.42,0,0
193,2020-04-30,2.42,1,0
197,2020-05-04,2.4,1,0
198,2020-05-05,2.4,2,0
199,2020-05-06,2.36,2,2
201,2020-05-08,2.44,2,0
205,2020-05-12,2.66,8,6
206,2020-05-13,3.1,9,3
207,2020-05-14,3.43,17,9
208,2020-05-15,3.46,13,11
211,2020-05-18,3.5,13,1
212,2020-05-19,3.49,6,4
213,2020-05-20,3.6,6,0
214,2020-05-21,3.89,14,6
215,2020-05-22,3.94,8,2
220,2020-05-27,4.29,15,7
221,2020-05-28,4.37,12,11
222,2020-05-29,4.43,14,2
225,2020-06-01,5.18,39,16
226,2020-06-02,4.93,62,37
227,2020-06-03,4.9,74,50
228,2020-06-04,5.15,49,39
229,2020-06-05,5.46,35,22
233,2020-06-09,5.67,54,39
234,2020-06-10,5.69,66,45
235,2020-06-11,5.57,186,164
236,2020-06-12,5.63,133,44
239,2020-06-15,5.07,65,102
240,2020-06-16,5.32,28,20
241,2020-06-17,5.23,52,31
242,2020-06-18,4.9,85,79
243,2020-06-19,5.13,46,25
246,2020-06-22,5.2,24,11
247,2020-06-23,5.21,16,17
248,2020-06-24,5.2,10,8
249,2020-06-25,5.17,21,23
250,2020-06-26,4.97,55,29
253,2020-06-29,5.23,30,11
254,2020-06-30,5.37,22,8
255,2020-07-01,5.71,20,11
256,2020-07-02,5.83,24,8
257,2020-07-03,6.15,40,25
260,2020-07-06,6.65,29,21
261,2020-07-07,6.82,29,15
262,2020-07-08,6.85,22,4
263,2020-07-09,7.06,21,9
264,2020-07-10,7.31,28,10
267,2020-07-13,8.0,73,33
268,2020-07-14,7.72,33,46
269,2020-07-15,7.27,75,61
270,2020-07-16,6.57,202,220
271,2020-07-17,7.66,188,89
274,2020-07-20,8.27,82,26
275,2020-07-21,8.31,89,41
276,2020-07-22,8.23,57,50
277,2020-07-23,8.71,58,37
278,2020-07-24,8.48,47,36
281,2020-07-27,8.63,40,24
282,2020-07-28,8.8,38,28
283,2020-07-29,8.71,78,49
284,2020-07-30,8.63,61,46
288,2020-08-03,8.96,33,12
289,2020-08-04,9.45,73,44
290,2020-08-05,9.31,47,19
291,2020-08-06,9.47,44,22
292,2020-08-07,9.38,37,13
293,2020-08-08,28.14,10,7
295,2020-08-10,9.07,81,22
296,2020-08-11,9.1,36,29
297,2020-08-12,8.17,120,97
298,2020-08-13,8.33,83,56
299,2020-08-14,7.94,106,52
302,2020-08-17,7.47,102,44
303,2020-08-18,8.69,84,39
304,2020-08-19,9.05,68,24
306,2020-08-21,9.33,64,25
309,2020-08-24,9.3,39,17
310,2020-08-25,8.47,75,58
311,2020-08-26,8.78,43,33
312,2020-08-27,8.8,40,30
313,2020-08-28,8.76,53,22
317,2020-09-01,8.83,19,9
318,2020-09-02,8.69,31,22
319,2020-09-03,8.37,98,118
320,2020-09-04,8.38,72,25
323,2020-09-07,8.28,25,20
324,2020-09-08,7.64,81,106
325,2020-09-09,7.15,133,137
326,2020-09-10,6.45,176,116
327,2020-09-11,7.76,317,196
330,2020-09-14,8.58,193,97
331,2020-09-15,8.43,167,106
333,2020-09-17,7.79,319,407
334,2020-09-18,7.98,172,111
337,2020-09-21,8.0,154,82
338,2020-09-22,8.03,173,106
339,2020-09-23,8.02,107,69
340,2020-09-24,8.55,125,87
341,2020-09-25,8.8,89,56
344,2020-09-28,8.77,67,46
345,2020-09-29,8.47,65,78
346,2020-09-30,8.3,55,35
347,2020-10-01,8.43,34,23
348,2020-10-02,8.76,73,32
351,2020-10-05,8.92,75,24
352,2020-10-06,8.64,58,30
353,2020-10-07,8.8,48,21
354,2020-10-08,8.8,26,7
355,2020-10-09,8.81,17,15
358,2020-10-12,8.97,70,15
359,2020-10-13,9.09,28,6
360,2020-10-14,9.48,47,30
361,2020-10-15,9.34,27,21
362,2020-10-16,9.34,26,15
365,2020-10-19,9.6,38,13
366,2020-10-20,9.48,17,11
367,2020-10-21,8.88,69,63
368,2020-10-22,8.9,53,27
369,2020-10-23,8.7,38,19
372,2020-10-26,8.7,21,26
373,2020-10-27,8.91,32,13
374,2020-10-28,8.78,22,15
376,2020-10-30,8.57,19,21
379,2020-11-02,8.39,38,32
380,2020-11-03,8.32,24,20
381,2020-11-04,8.1,39,22
382,2020-11-05,8.3,34,28
383,2020-11-06,8.5,50,22
386,2020-11-09,8.48,39,31
387,2020-11-10,7.8,85,74
388,2020-11-11,7.86,54,37
389,2020-11-12,7.7,82,45
390,2020-11-13,7.78,71,28
393,2020-11-16,7.2,97,102
394,2020-11-17,7.0,119,96
395,2020-11-18,7.01,115,61
396,2020-11-19,6.94,72,52
397,2020-11-20,7.29,70,37
400,2020-11-23,7.35,104,107
401,2020-11-24,6.8,105,85
402,2020-11-25,6.65,82,70
403,2020-11-26,7.05,63,39
404,2020-11-27,6.99,46,39
407,2020-11-30,7.12,25,22
408,2020-12-01,6.79,74,67
409,2020-12-02,6.68,61,32
410,2020-12-03,6.78,46,31
411,2020-12-04,6.65,44,26
414,2020-12-07,6.6,49,33
415,2020-12-08,7.09,70,60
416,2020-12-09,6.84,179,189
417,2020-12-10,6.99,78,48
418,2020-12-11,6.9,60,47
421,2020-12-14,6.3,156,140
422,2020-12-15,6.41,68,81
423,2020-12-16,6.77,80,51
424,2020-12-17,6.7,52,52
425,2020-12-18,6.64,48,50
428,2020-12-21,6.62,45,42
429,2020-12-22,6.69,30,34
430,2020-12-23,6.73,45,23
431,2020-12-24,6.49,30,37
435,2020-12-28,6.26,69,63
436,2020-12-29,6.01,100,104
437,2020-12-30,6.12,114,55
438,2020-12-31,6.12,54,67
442,2021-01-04,5.5,166,148
443,2021-01-05,5.72,52,65
444,2021-01-06,5.76,60,77
445,2021-01-07,5.8,42,113
446,2021-01-08,6.5,82,209
449,2021-01-11,6.43,81,132
450,2021-01-12,6.68,57,112
451,2021-01-13,6.63,47,90
452,2021-01-14,6.37,61,102
453,2021-01-15,6.42,45,73
456,2021-01-18,6.34,34,107
457,2021-01-19,6.13,47,61
458,2021-01-20,6.14,42,60
459,2021-01-21,6.02,67,81
460,2021-01-22,6.25,62,75
463,2021-01-25,6.52,58,115
464,2021-01-26,6.2,59,99
465,2021-01-27,6.21,44,88
467,2021-01-29,6.74,177,236
471,2021-02-02,7.05,56,72
472,2021-02-03,6.82,53,127
473,2021-02-04,6.71,42,80
