,Date,Price,pos_count,neu_count,neg_count
0,2019-07-18,1.55,3,1,0
1,2019-07-19,1.55,1,0,0
2,2019-07-22,1.55,1,1,0
3,2019-07-23,1.55,1,1,0
4,2019-07-24,1.55,0,3,1
5,2019-07-25,1.54,1,0,0
7,2019-07-31,1.51,3,3,2
8,2019-08-01,1.52,2,2,1
9,2019-08-02,1.52,0,0,1
11,2019-08-05,1.51,2,0,1
12,2019-08-06,1.53,1,2,8
13,2019-08-15,1.5,0,0,2
15,2019-08-23,1.58,0,2,0
16,2019-08-26,1.55,0,0,1
17,2019-08-27,1.56,1,1,0
18,2019-08-28,1.55,0,0,1
19,2019-09-03,1.57,0,0,1
20,2019-09-04,1.56,1,0,0
21,2019-09-05,1.57,1,2,0
23,2019-09-12,1.6,0,1,0
27,2019-09-17,1.6,0,1,0
28,2019-09-20,1.58,0,2,0
29,2019-09-23,1.58,4,1,1
30,2019-09-24,1.58,0,0,1
31,2019-09-26,1.57,2,2,2
32,2019-09-27,1.52,3,2,4
34,2019-09-30,1.48,3,2,6
35,2019-10-02,1.5,6,9,11
36,2019-10-03,1.49,0,0,1
37,2019-10-04,1.49,1,0,1
40,2019-10-07,1.5,0,0,2
41,2019-10-08,1.49,1,0,0
42,2019-10-09,1.46,4,7,3
43,2019-10-10,1.44,3,7,8
44,2019-10-11,1.43,5,1,2
47,2019-10-14,1.42,1,3,1
48,2019-10-15,1.42,10,8,5
49,2019-10-16,1.43,2,2,3
50,2019-10-17,1.45,1,3,1
51,2019-10-18,1.44,1,0,0
54,2019-10-21,1.45,0,1,0
55,2019-10-23,1.46,0,0,1
56,2019-10-24,1.46,1,1,0
57,2019-10-25,1.45,1,0,0
58,2019-11-04,1.51,3,2,1
59,2019-11-05,1.5,2,1,0
60,2019-11-06,1.46,6,1,3
61,2019-11-07,1.47,1,3,1
62,2019-11-08,1.45,1,2,2
63,2019-11-11,1.47,2,0,1
64,2019-11-12,1.47,1,0,0
65,2019-11-13,1.48,4,2,0
66,2019-11-14,1.5,1,0,0
67,2019-11-19,1.53,3,0,2
68,2019-11-20,1.53,3,1,0
69,2019-11-25,1.53,1,1,0
70,2019-11-27,1.54,2,1,0
71,2019-11-28,1.53,0,1,0
