,Date,Price,Sum_Positive,Sum_Neutral,Sum_Negative,Sum_Compound
0,2019-07-18,1.55,1.5819999999999999,2.4179999999999997,0.0,1.7865
1,2019-07-19,1.55,0.69,0.31,0.0,0.836
2,2019-07-22,1.55,0.832,1.168,0.0,0.836
3,2019-07-23,1.55,0.281,1.7189999999999999,0.0,0.5719
4,2019-07-24,1.55,0.0,3.185,0.815,-0.5267
5,2019-07-25,1.54,1.0,0.0,0.0,0.743
6,2019-07-27,,0.0,0.176,0.824,-0.9403
7,2019-07-31,1.51,0.948,6.309,0.743,-0.5593999999999999
8,2019-08-01,1.52,1.109,3.3550000000000004,0.535,0.9584
9,2019-08-02,1.52,0.194,0.432,0.373,-0.5859
10,2019-08-04,,0.772,0.98,0.248,1.2618
11,2019-08-05,1.51,0.86,1.552,0.589,0.6805
12,2019-08-06,1.53,1.109,6.623,3.2690000000000006,-5.5074
13,2019-08-15,1.5,0.0,1.041,0.959,-1.2036
14,2019-08-18,,0.091,0.879,0.03,0.6808
15,2019-08-23,1.58,0.0,2.0,0.0,0.0
16,2019-08-26,1.55,0.097,0.326,0.577,-0.853
17,2019-08-27,1.56,0.107,0.893,0.0,0.4588
18,2019-08-28,1.55,0.0,0.323,0.677,-0.2732
19,2019-09-03,1.57,0.0,0.696,0.304,-0.5423
20,2019-09-04,1.56,0.518,0.482,0.0,0.5106
21,2019-09-05,1.57,0.219,2.614,0.167,0.1531
22,2019-09-07,,0.649,0.351,0.0,0.5719
23,2019-09-12,1.6,0.0,1.0,0.0,0.0
24,2019-09-14,,0.0,1.0,0.0,0.0
25,2019-09-15,,0.0,0.78,0.22,-0.4767
26,2019-09-16,,0.0,0.256,0.744,-0.8271
27,2019-09-17,1.6,0.0,1.0,0.0,0.0
28,2019-09-20,1.58,0.0,2.0,0.0,0.0
29,2019-09-23,1.58,1.862,3.879,0.259,1.8849
30,2019-09-24,1.58,0.078,0.819,0.103,-0.1779
31,2019-09-26,1.57,0.9349999999999999,4.005,1.06,-0.3564000000000001
32,2019-09-27,1.52,1.685,5.763000000000001,1.552,0.8959
33,2019-09-28,,0.899,2.765,0.335,1.6715
34,2019-09-30,1.48,1.658,6.533,2.81,-0.9515000000000001
35,2019-10-02,1.5,3.2,17.5,4.299,-2.7066
36,2019-10-03,1.49,0.137,0.211,0.653,-0.7096
37,2019-10-04,1.49,0.48000000000000004,1.381,0.14,0.1653
38,2019-10-05,,0.0,0.0,0.0,0.0
39,2019-10-06,,0.362,0.426,0.213,0.2732
40,2019-10-07,1.5,0.255,1.1800000000000002,0.565,-0.4263
41,2019-10-08,1.49,0.365,0.635,0.0,0.3182
