"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2021","4.16","3.99","4.18","3.94","38.94M","5.85%"
"Jul 19, 2021","3.93","4.00","4.06","3.93","14.97M","-1.01%"
"Jul 16, 2021","3.97","4.09","4.15","3.93","31.29M","-1.73%"
"Jul 15, 2021","4.04","3.79","4.11","3.77","45.00M","7.45%"
"Jul 14, 2021","3.76","3.76","3.86","3.74","34.30M","-0.27%"
"Jul 13, 2021","3.77","3.72","3.83","3.72","17.09M","1.62%"
"Jul 12, 2021","3.71","3.83","3.88","3.70","16.40M","-2.88%"
"Jul 09, 2021","3.82","3.72","3.93","3.72","46.40M","2.69%"
"Jul 08, 2021","3.72","3.85","3.87","3.64","39.37M","-3.63%"
"Jul 07, 2021","3.86","3.89","3.97","3.86","14.35M","-2.03%"
"Jul 06, 2021","3.94","3.95","4.03","3.93","18.85M","-0.25%"
"Jul 05, 2021","3.95","4.01","4.03","3.93","22.00M","-1.50%"
"Jul 02, 2021","4.01","4.06","4.08","3.99","19.36M","-1.47%"
"Jul 01, 2021","4.07","4.17","4.21","4.05","16.45M","-2.40%"
"Jun 30, 2021","4.17","4.30","4.35","4.17","18.60M","-3.02%"
"Jun 29, 2021","4.30","4.22","4.35","4.20","18.15M","1.65%"
"Jun 28, 2021","4.23","4.35","4.35","4.20","14.66M","-2.76%"
"Jun 25, 2021","4.35","4.36","4.43","4.31","13.67M","0.00%"
"Jun 24, 2021","4.35","4.45","4.47","4.31","18.72M","-2.25%"
"Jun 23, 2021","4.45","4.47","4.49","4.40","20.39M","-4.30%"
"Jun 22, 2021","4.65","4.68","4.72","4.63","19.80M","-0.43%"
"Jun 21, 2021","4.67","4.71","4.73","4.66","14.23M","-0.64%"
"Jun 18, 2021","4.70","4.63","4.76","4.62","34.23M","1.51%"
"Jun 17, 2021","4.63","4.66","4.71","4.61","18.10M","-0.64%"
"Jun 16, 2021","4.66","4.75","4.77","4.63","26.20M","-1.69%"
"Jun 15, 2021","4.74","4.77","4.81","4.72","18.11M","-0.63%"
"Jun 14, 2021","4.77","4.98","5.09","4.76","46.32M","1.06%"
"Jun 11, 2021","4.72","4.80","4.82","4.70","16.44M","-1.67%"
"Jun 10, 2021","4.80","4.89","4.95","4.77","27.52M","-0.83%"
"Jun 09, 2021","4.84","4.78","4.92","4.77","34.54M","1.26%"
"Jun 08, 2021","4.78","4.89","4.90","4.75","31.12M","-2.45%"
"Jun 04, 2021","4.90","5.00","5.02","4.88","23.38M","-2.00%"
"Jun 03, 2021","5.00","5.13","5.15","4.97","24.85M","-1.96%"
"Jun 02, 2021","5.10","5.09","5.18","5.06","10.03M","0.20%"
"Jun 01, 2021","5.09","5.19","5.19","5.06","5.62M","-1.74%"
"May 31, 2021","5.18","5.09","5.20","5.09","7.13M","1.77%"
"May 28, 2021","5.09","5.13","5.17","5.07","13.00M","-0.59%"
"May 27, 2021","5.12","5.21","5.29","5.11","50.65M","-1.54%"
"May 25, 2021","5.20","5.26","5.27","5.15","17.41M","-1.14%"
"May 24, 2021","5.26","5.30","5.34","5.23","8.67M","-0.94%"
"May 21, 2021","5.31","5.34","5.41","5.23","12.03M","-1.12%"
"May 20, 2021","5.37","5.44","5.48","5.31","17.55M","-1.47%"
"May 19, 2021","5.45","5.38","5.50","5.31","22.05M","2.06%"
"May 18, 2021","5.34","5.31","5.37","5.28","11.82M","0.95%"
"May 17, 2021","5.29","5.27","5.38","5.20","18.61M","-1.12%"
"May 12, 2021","5.35","5.20","5.36","5.18","12.22M","3.28%"
"May 11, 2021","5.18","5.17","5.24","5.10","9.15M","0.39%"
"May 10, 2021","5.16","5.26","5.34","5.15","13.29M","-1.90%"
"May 07, 2021","5.26","5.06","5.30","5.01","14.86M","3.95%"
"May 06, 2021","5.06","5.20","5.22","5.05","28.18M","-4.89%"
